stock,symbol,symbol_yf,RS_perf_1m,RS_perf_3m,RS_perf_6m,RS_perf_ytd,RS_perf_y
Oncozenge Ab,ONCOZ,ONCOZ.ST,98,98,99,99,100
Fantasma Games Ab,FAGA,FAGA.ST,92,95,99,97,100
Bioarctic Ab Ser. B,BIOA_B,BIOA-B.ST,79,37,70,49,100
Rederiaktiebolaget Gotland Ser. B,GOTL_B,GOTL-B.ST,53,35,100,41,100
Rederiaktiebolaget Gotland Ser. A,GOTL_A,GOTL-A.ST,46,39,100,48,100
W5 Solutions Ab,W5,W5.ST,93,98,97,96,99
Addvise Group Ab A,ADDV_A,ADDV-A.ST,97,99,98,100,99
Odfjell Se A,ODFO,ODFO.ST,78,89,92,80,99
Addvise Group Ab B,ADDV_B,ADDV-B.ST,95,99,99,99,99
Hoegh Autoliners Asa,HAUTOO,HAUTOO.ST,92,78,71,73,99
Okeanis Eco Tankers Corp,OETO,OETO.ST,31,96,88,92,99
Bonesupport Holding Ab,BONEX,BONEX.ST,94,85,67,86,99
Odfjell Technology Ltd,OTLO,OTLO.ST,73,95,99,97,99
Saniona Ab,SANION,SANION.ST,67,100,98,99,99
Odfjell Se B,ODFBO,ODFBO.ST,51,86,100,82,99
Bioextrax Ab,BIOEX,BIOEX.ST,99,100,98,99,98
Waystream Group Ab,WAYS,WAYS.ST,6,10,47,17,98
Kitron Asa,KITO,KITO.ST,91,98,98,94,98
Hafnia Limited,HAFNIO,HAFNIO.ST,29,76,51,67,98
Pgs Asa,PGSO,PGSO.ST,6,26,59,67,98
Borr Drilling Limited,BORRO,BORRO.ST,28,94,93,95,98
Frontline Plc,FROO,FROO.ST,27,85,80,95,98
Ferronordic Ab,FNM,FNM.ST,80,77,99,82,98
Readly International Ab,READ,READ.ST,48,66,98,81,98
Egetis Therapeutics Ab,EGTX,EGTX.ST,86,96,98,83,97
Stolt-Nielsen Ltd.,SNIO,SNIO.ST,17,80,76,78,97
Betsson Ab Ser. B,BETS_B,BETS-B.ST,83,92,83,87,97
